"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 8","typography_body-m__xgxZ_ 9","typography_body-m__xgxZ_ 10"
"SU","https://uk.trustpilot.com/users/6467602a498f68001270763b","Surridge","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","30 May 2024","https://uk.trustpilot.com/reviews/66583a5eaddeef6407c51110","Helpful and informative","Alison was informative and helpful,she answered my questions and was contactable by phone,she helped me through the process and was patient when I didn’t understand the stages that you have to progress through, would recommend anyone who comes to a impasse with their energy company to seek help through this service,my case was upheld.","30 May 2024","Reply from Energy Ombudsman","30 May 2024","Hi, That's fantastic to hear, We're glad that you had such a positive experience when using our services and that Alison supported you throughout your dispute with us. Thank you for your review."
"RO","https://uk.trustpilot.com/users/64837ba8c3c6e40011ab9fe3","Robert","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","29 May 2024","https://uk.trustpilot.com/reviews/6657830bbe1431ac75781f3f","Excellent service","The energy ombudsman has been absolutely vital in resolving my dispute with Octopus energy. In fact it is fair to say that without their help my complaint would be no nearer a resolution. Would highly recommend.","30 April 2024","Reply from Energy Ombudsman","30 May 2024","Hi Robert, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"CK","https://uk.trustpilot.com/users/526eaf8e0000640001527ed0","Catherine Klapsia","31 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","29 May 2024","https://uk.trustpilot.com/reviews/66576f3886c8e854295070ed","Well what can I say","Well what can I say. Contacted them in despair I’d spent many months trying to sort this out and failed. Communication with the supplier was nil.I made a case and forgot about it as it was such a relief not to have the continual battle. I was kept informed of every step and I could look at the progress of the case on line. To be honest I didn’t as I’d just given up.If they needed input from me they emailed me directly so no need.My ombudsman representative Amy Crofts was the best of the best. Her patience is of a level I have never seen in anyone.  Huge thank you to her for sticking with it. Can’t say any more than if u have an issue trust the ombudsman service. And whatever you pay her it’s not enough","17 May 2024","Reply from Energy Ombudsman","30 May 2024","Hi Catherine, That's fantastic to hear, We're glad that you had such a positive experience when using our services and that Amy supported you throughout your dispute with us. Thank you for your review."
"","https://uk.trustpilot.com/users/665760d1e16bb9b90552ff2a","Cafe Nirvana","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","29 May 2024","https://uk.trustpilot.com/reviews/665760d60d834dddb89cdbd6","The complaint was assessed and upheld…","The complaint was assessed and upheld In my favour but I feel the outcome was more favourable to the energy company and the compensation was very very poor. After having months  of hassle, financial loss non of which was considered by the compliant assessor. And till now the energy company did not honour the outcome and actions from the ombudsman and ombudsman and the asessser has done nothing about it.","19 March 2024","Reply from Energy Ombudsman","30 May 2024","Hi Cafe, before we close the dispute, we ask that the supplier provides us with evidence that shows they have implemented the resolutions. We are sorry that this may not be the case. We would advise contacting us directly on tel 0330 440 1624 or email us @ enquiry@energyombudsman.org and a member of our team will check this for you for you and advise on next steps. Thank you."
"DA","https://uk.trustpilot.com/users/5e8476ed5409e81a30707055","David Anderton","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","29 May 2024","https://uk.trustpilot.com/reviews/6656f4a6d6f216b3e382eab5","Resolution of my late mother’s energy bills","My problem with my late mother’s energy supplier invoices was sorted professionally and objectively in a manner easy to comprehend. The Ombudsman service is necessary so that energy suppliers are accountable in disputes.","29 May 2024","Reply from Energy Ombudsman","29 May 2024","Hi David, That's fantastic to hear, We're glad that you had such a positive experience when using our services . Thank you for your review."
"HJ","https://uk.trustpilot.com/users/5b955a4d4de5666d344db069","HJM","75 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","28 May 2024","https://uk.trustpilot.com/reviews/6655be029965dbb68f950210","Well handled and quickly resolved.","From the start our case was handled in a friendly and efficient way. Our dispute had been dragging on for months but once we got the Energy Ombudsman involved matters were rectified very quickly with a positive outcome for us. Thank you very much.","20 May 2024","Reply from Energy Ombudsman","29 May 2024","Hi, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"BH","https://uk.trustpilot.com/users/5b82d7684de5666d341c8cb8","Brian Heavey","8 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 May 2024","https://uk.trustpilot.com/reviews/6651ceb14e8b9dea5fbdc9e1","Truly impartial?","Seem to take the side of the energy company from the outset and do not look at things in a common sense way, only a box ticking excecise for them.","01 May 2024","Reply from Energy Ombudsman","28 May 2024","Hi Brian, we're sorry that you haven't had a positive experience when using our services. We appreciate that you may not have had the outcome that you were hoping for however, if you have any questions then please don't hesitate to contact us and we will be more than happy to help. Thank you"
"CE","https://uk.trustpilot.com/users/6651b17de16bb936384f0b4a","CHRISTINE/RON EVANS","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","25 May 2024","https://uk.trustpilot.com/reviews/6651b1a2d5c43bb7a0f94810","What a great service","What a great service! After months of e-mailing BRITISH GAS and not receiving satisfactory answers, the ENERGY OMBUDSMAN service sorted out my concerns very swiftly, and dealt with my complaint in a polite and efficient way.","11 May 2024","Reply from Energy Ombudsman","28 May 2024","Hi Christine and Ron, that's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"RS","https://uk.trustpilot.com/users/5b61b9ee4de5666d344a82b2","ROSEMARIE SWAYZE","20 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","25 May 2024","https://uk.trustpilot.com/reviews/6651b1972ccbe7c4191d3de6","British Gas  complaint…","I was worried about getting in touch with the Ombudsman , but James put me at ease and was extremely helpful","10 April 2024","Reply from Energy Ombudsman","28 May 2024","Hi Rosemarie, That's fantastic to hear, We're glad that you had such a positive experience when using our services and that James  supported you throughout your dispute with us. Thank you for your review."
"UB","https://uk.trustpilot.com/users/647315b171da8800120dafd5","Ursula Biernacka","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","25 May 2024","https://uk.trustpilot.com/reviews/6651abb6ac616262e3a0bd0b","Excellent service","Excellent service.  I would highly recommend for anyone dealing with a non responsive company.  My issue is finally being resolved after 9 months!","25 May 2024","Reply from Energy Ombudsman","28 May 2024","Hi Ursula, That's fantastic to hear, We're glad that you had such a positive experience when using our services, thank you for your review."
"EO","https://uk.trustpilot.com/users/5cd31aefe7d72ba8cf5dade9","Ema Oliveira","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","25 May 2024","https://uk.trustpilot.com/reviews/665126df250630c962a78da8","Scottish power wrong doing","Ombudsman helped with Scottish power company process and I received a good will gesture. Thank you","25 May 2023","Reply from Energy Ombudsman","28 May 2024","Hi Ema, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"NR","https://uk.trustpilot.com/users/566864330000ff0001f1d77f","Norman Roser","25 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","24 May 2024","https://uk.trustpilot.com/reviews/6650fbbc98163765a3bf1642","The bottom line is THEY HELP YOU.","","24 May 2024","Reply from Energy Ombudsman","28 May 2024","Hi Norman, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"","https://uk.trustpilot.com/users/6523f407794c770012f10fb8","Ian Kennedy","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","24 May 2024","https://uk.trustpilot.com/reviews/665077bce7236fffd4fd4fae","The Energy Ombudsman service was first…","The Energy Ombudsman service was first class.Without their involvement the situation we have been trying to correct since 2021 would still be ongoing.Great to have such a service to call on in difficult situations with power companies.","24 May 2024","Reply from Energy Ombudsman","28 May 2024","H Ian, That's fantastic to hear, We're glad that you had such a positive experience when using our services. Thank you for your review."
"ER","https://uk.trustpilot.com/users/62b56cb85a06620012e2f469","EWR Roberts","6 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","23 May 2024","https://uk.trustpilot.com/reviews/664f213ee420add8485b9e30","Final Smart meter readings with gross estimated errors :-(","After a 10 month dispute with SoEnergy with regards to my final readings for both gas & electric prior to moving energy provider I had to refer my case to the Energy Ombudsman as SoEnergy ruled there were no issues to be considered. Curiously perhaps the Energy Ombudsman did not agree & found in my favour & saved me a lot of money. They also fined SoEnergy £150 for their poor service....etc.","23 May 2024","Reply from Energy Ombudsman","28 May 2024","Hello, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"JI","https://uk.trustpilot.com/users/51b50af600006400013f1054","John Iveson","25 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","22 May 2024","https://uk.trustpilot.com/reviews/664dbce65e964705e96d946f","Faulty Smart meter instalation","Faulty Smart meter instalation. Took 15 months to resolve Ombudsman appointed was very inactive had to keep chasing him. SoEnergy treat the Ombudsman with utter contempt. It is obvious they think the Ombudsman are a toothless tiger. He would chase them and they didn't bother getting back to him. They lied to him and he did nothing.","01 May 2024","Reply from Energy Ombudsman","22 May 2024","Hi John, before we close the dispute, we ask that the supplier provides us with evidence that shows they have implemented the resolutions. We are sorry that this may not be the case. We would advise contacting us directly on 0330 440 1624 or email us at enquiry@energyombudsman.org and a member of our team will check this for you for you and advise on next steps. Thank you."
"MA","https://uk.trustpilot.com/users/655b9dcb665e3100123bd5e8","Martin","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","22 May 2024","https://uk.trustpilot.com/reviews/664da61259d154d335bacf5d","Yu Energy and the Energy Ombudsman","A great service. I would urgently advise anybody who feels they have a legitimate case aganst an energy company and feel they have nowhere else to turn, to use the services of the energy ombudsman. It may not come down in your favour but they provide a dispassionate service to establish the truth and whether the companies have acted in the way that they should be doing. You would like to think that they then learn a little more from every outcome as a way to grow their organisation into a more customer focussed entity and start to treat us with a modicum of respect. Thank you!","21 May 2024","Reply from Energy Ombudsman","22 May 2024","Hi Martin, thank you for taking the time to share your experience of using our services. We're glad that we were able to support you with your dispute."
"NW","https://uk.trustpilot.com/users/664d44ff5ce0714a4364c75e","Neil Whyle","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","22 May 2024","https://uk.trustpilot.com/reviews/664d45061a1f5c0d0ccc3364","Took all my stress away from trying to sort my issue out","My experience has been so easy with John who has dealt with my case with my energy provider, he took all the hassle and stress away from me once I got the energy ombudsman involved nothing was getting sorted with my energy provider when I was trying they were just ignoring me. He got it all sorted very quickly can’t thank him enough","04 April 2024","Reply from Energy Ombudsman","22 May 2024","That's fantastic to hear, Neil! We're glad that we were able to help you resolve your dispute. Thank you for taking the time to share your experience of using our service."
"CA","https://uk.trustpilot.com/users/527a33f1000064000153d0bf","Carl","14 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 May 2024","https://uk.trustpilot.com/reviews/664cdd85378e655eef2ef5fe","Great service","Michael who dealt with our issues with eon was very thorough and kept us informed throughout the process, thanks very much,","15 May 2024","Reply from Energy Ombudsman","22 May 2024","You're more than welcome, Carl. We're glad that we were able to help."
"","https://uk.trustpilot.com/users/5b7d00c24de5666d34311de6","Thornhill","39 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 May 2024","https://uk.trustpilot.com/reviews/664cbf3721a9a2d5ae20c6de","Even one star would be too much for…","Even one star would be too much for those unprofessionals!The energy ombudsman is funded by the energy companies paying them a fee for registration and also by charging a case fee for every dispute raised by consumers or business customers.I find it worrying that the energy ombudsman are the only gov.uk approved alternative dispute resolution company for energy.The cherry on top was in the places where the ombudsman sought to blame me the consumer for things that were 100% the energy companys fault. So ridiculously biased I cannot believe we the taxpayers are funding this. I see now why the reviews are so bad.","21 May 2024","Reply from Energy Ombudsman","22 May 2024","Hello, we're sorry that you have not had a positive experience when using our services. As with most Ombudsman - we are funded by the industry that we operate in. We charge a fee to suppliers for each case that a consumer brings to us, this fee is the same regardless of the outcome of the dispute. This also allows us to provide a free service to consumers. If you have any questions regarding our service or your dispute, then please don't hesitate to contact us, and we will be happy to help. Thank you"
"MK","https://uk.trustpilot.com/users/5bc49a984de5666d34ee65d3","May K","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 May 2024","https://uk.trustpilot.com/reviews/664c85f4afb39c58a560b3fe","Complaint Upheld against Utilita","I found the online portal easy to navigate and it allowed me to add as much details and evidence as I can for my case. I also received an initial call from Elena to explain the process and timelines. The case handler, Olivia, reviewed and made a decision on my case much earlier than I expected. I am pleased with the explanation provided and can now confidently say that the Ombudsman service is indeed impartial.","31 March 2024","Reply from Energy Ombudsman","22 May 2024","Hi May, thank you for taking the time to share your experience of using our service. We're glad that our team were able to support you through the dispute process and reach a positive outcome. Thank you"
"AP","https://uk.trustpilot.com/users/630fa0d9c28fba0012727263","Andrew Preston","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 May 2024","https://uk.trustpilot.com/reviews/664c79cbae48c4edc739af63","First class service","The call handler was helpful and understanding, the whole experience was first class","25 April 2024","Reply from Energy Ombudsman","22 May 2024","That's great to hear, Andrew! We're glad that we were able to help!"
"LO","https://uk.trustpilot.com/users/51cc8124000064000141a29e","louise","5 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 May 2024","https://uk.trustpilot.com/reviews/664c6ff85adad1ab77f70be8","Great service and experience","I contacted the Ombudsman out of shear frustration after 7 months of nonsense from my supplier. The matter was resolved in a very timely fashion with expertise and professionalism.","20 May 2024","Reply from Energy Ombudsman","22 May 2024","Hi Louise, we're glad that we were able to help you resolve your dispute. Thanks for taking the time to leave us your review."
"CU","https://uk.trustpilot.com/users/5a0350010000ff000adfc2cf","customer","19 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 22 May 2024","https://uk.trustpilot.com/reviews/664c4fc50b5a6431d4c1dd3d","Independent Energy Ombudsman ? Not Really!","A word of caution for anyone thinking of using the energy ombudsman.First they are not a public body.they are a commercial company owned by Trust Alliance who also operate a number of other ombudsman services e.g telecomms,internet,parking etc.The energy ombudsman is funded by the energy companies paying them a fee for registration and also by charging a case fee for every dispute raised by consumers or business customers.I find it worrying that the energy ombudsman are the only gov.uk approved alternative dispute resolution company for energy.Until now I would have the first requirement for an ADR would be that they MUST be independent but how independent can any organisation be when they are funded entirely by the companies they are supposed to mediate on?As far as Trust Alliance are concerned as a group they are so open and inviting they refuse to publish a contact number where you can contact them directly to discuss important issues like policies,compliance GDPR,etc.Note the reply from them Completely ignored the comment about tel no for Trust Alliance!!","21 May 2024","Reply from Energy Ombudsman","22 May 2024","Hello, we're sorry that you have not had a positive experience when using our services. As with most Ombudsman - we are funded by the industry that we operate in. We charge a fee to suppliers for each case that a consumer brings to us, this fee is the same regardless of the outcome of the dispute. This also allows us to provide a free service to consumers. If you have any questions regarding our service or your dispute, then please don't hesitate to contact us, and we will be happy to help. Thank you"
"NS","https://uk.trustpilot.com/users/614b514b9ac9e700120b35e9","Nick Smith","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","21 May 2024","https://uk.trustpilot.com/reviews/664c2c07188a36020cdfc52f","I am so pleased to have contacted the…","I am so pleased to have contacted the Ombudsman for their help in resolving my situation with British Gas. The process was seamless and straight forward and meant I didn't have to try  (which I had done for about a year) to get British Gas to speak to me about the issues I was having with their billing system. British Gas were not committed to help in trying to resolve my issues and after speaking to numerous customer service handlers and after spending hours and days on the phone I decided to contact the Ombudsman where I dealt with one person who handled my case, explained the process and dealt with the problem, which enabled me to bring this matter to a close.","14 February 2024","Reply from Energy Ombudsman","22 May 2024","Hi Nick, we're glad that you had a positive experience when using our services. Thank you for taking the time to share your experience."
"JI","https://uk.trustpilot.com/users/589305900000ff000a730110","Jim","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","20 May 2024","https://uk.trustpilot.com/reviews/664b7a15064fc4454159b68f","British Gas","Very professional and helpful","20 May 2024","Reply from Energy Ombudsman","22 May 2024","That's great to hear, Jim. Thanks for your review."
"RO","https://uk.trustpilot.com/users/52ac5f86000064000159b3c8","Roger","14 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","18 May 2024","https://uk.trustpilot.com/reviews/6648c40735365a2689d31f47","Referring a dispute to the Ombudsman…","Referring a dispute to the Ombudsman forced the Energy provider finally to respond to the cause of the dispute which had been ongoing for nearly a year. I struggle with the resulting ‘ Gesture of Goodwill’ phraseology as it should be titled Compensation.This is the second time I have had to refer a case to the Ombudsman and, when any further dispute arises, I would automatically refer it straight to the Ombudsman without attempting any dialogue with EP who, in the main, couldn’t care less about Customer Service.","18 May 2024","Reply from Energy Ombudsman","20 May 2024","Hi Roger, Energy Ombudsman isn't a compensatory body, the awards that we issue are a reflection of shortfalls in service from the supplier. Therefore we can't call them compensation payments. Thank you for sharing your experience, we are glad that it was a positive one. We're always here if you need us. Thank you"
"GE","https://uk.trustpilot.com/users/5c55f00490a1bd8f795f5f59","George","186 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 May 2024","https://uk.trustpilot.com/reviews/6648a7b5d63c22ace43b092d","Even one star would be too much for…","Even one star would be too much for those unprofessionals!At the top of.that they do not respect complaints against their.l lack of professionalism!I really would like to know who is paying them salaries as obviously they don't think that they have to respect the public!","09 May 2024","Reply from Energy Ombudsman","20 May 2024","Hello, we're sorry that you haven't had a positive experience when using our services. As with most Ombudsman - we are funded by the industry that we operate in. We charge a fee to suppliers for each case that a consumer brings to us, this fee is the same regardless of the outcome of the dispute. This also allows us to provide a free service to consumers. If you have any questions regarding our service or your dispute, then please don't hesitate to contact us, and we will be happy to help. Thank you"
"MB","https://uk.trustpilot.com/users/617eaac63c80ca0014bbf2fc","Mr  Bonfield","5 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg","18 May 2024","https://uk.trustpilot.com/reviews/664893f0b4dcadf6d5e1c442","Don't give up . Give the Ombudsman a go !","After dealing with the frustrating ,  closed minded , dogmatic  and ill informed complaints staff employed by the utility provider the opportunity to deal with an adjudicator who  really listens and applies common sense was extremely refreshing .  Don't give up  - give the Ombudsman a go","10 May 2024","Reply from Energy Ombudsman","20 May 2024","Thank you for your review. We are always here if you need us."
"RD","https://uk.trustpilot.com/users/663d294b6343661b9c2eeaf7","Richard Dummett","6 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","17 May 2024","https://uk.trustpilot.com/reviews/6647c07b55114859c57614fb","Ombudsman intervention.","I was getting stressed out by not receiving monies promised to me by British Gas, in relation to a property I lived in for 5 month. I sought the skills of the ombudsman and wow what a difference that made!  A refund and compensation has been received.  I speak of their expertise (ombudsman) very highly.  The process was efficient, effective and quick.  A big thank you!","17 May 2024","Reply from Energy Ombudsman","20 May 2024","You're more than welcome, Richard! We are glad that we were able to help."
"CC","https://uk.trustpilot.com/users/5e9023b1c78e4f595e291947","Claire Coxon","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","17 May 2024","https://uk.trustpilot.com/reviews/66471e9285cd4fef094fc4b2","Excellent service by Julie","Excellent service by Julie, helpful & very friendly. Easy to talk too.","15 May 2024","Reply from Energy Ombudsman","20 May 2024","Hi Claire, we're glad that you had a positive experience when using our services. Thank you"
"DM","https://uk.trustpilot.com/users/5f04ce0ccd38706edbe8af0d","David Metcalfe","8 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","16 May 2024","https://uk.trustpilot.com/reviews/6645d61d1613469b4fce17a4","Easy to use procedure and very helpful…","Easy to use procedure and very helpful case officer who keeps you informed. Especially quick result that upholds my concerns in full.","16 May 2024","Reply from Energy Ombudsman","20 May 2024","That's great to hear, David! We're glad that we wee able to help you resolve your dispute. Thank you"
"OL","https://uk.trustpilot.com/users/6644dbccd5fa2412e6159fc1","oldkiwikid","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 May 2024","https://uk.trustpilot.com/reviews/6644de6655af2eb9f537c166","THE FRAUDULENT EDF & OMBUDSMAN RELATIONSHIP - WHERE LAWS AND REGULATIONS ARE DISMISSED IN THE DECEPTION","EDF ARE A FRAUDULENT, MANIPULATIVE AND CORRUPT COMPANY THAT THE OMBUDSMAN SERVICE, IN FACT AN DEED, SUPPORTS. AS THE OMBUDSMAN DO NOT WANT TO MAKE EDF COMPLY WITH THEIR RESPONSIBILITIES IN LAW.THE PERSON [COMPLAINANT] IS TREATED AS A FALL-GUY IN THIS ""FAR TO COSY AND CORRUPT REGULATIVE RELATIONSHIP"" - WHERE THE BILL-PAYING PUBLIC IS BEING DECEIVED.","15 May 2024","Reply from Energy Ombudsman","16 May 2024","Hi, before we close the dispute, we ask that the supplier provides us with evidence that shows they have implemented the resolutions. We are sorry that this may not be the case. We would advise contacting us directly on 0330 440 1624 or email us at enquiry@energyombudsman.org and a member of our team will check this for you for you and advise on next steps. Thank you."
"MM","https://uk.trustpilot.com/users/5b8ea9e24de5666d34b4ba8b","Mr Marland","48 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 May 2024","https://uk.trustpilot.com/reviews/6644b32e2b75be2bc93715fe","Case officer was shocking refused to…","Case officer was shocking refused to listen to my requests and told me in certain terms ""NO"" When asked to speak to his superior as I was not happy with his tone !","14 May 2024","Reply from Energy Ombudsman","20 May 2024","Hello, we're sorry that you haven't had a positive experience when using our services. I can see that your feedback has been passed over to one of our colleagues who will be providing you with a full written response in relation to your concerns. Thank you"
"","https://uk.trustpilot.com/users/65e5c60f8c4617001188ff3f","John Culbert","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 May 2024","https://uk.trustpilot.com/reviews/66447d612fa823300e0600d2","Untrained and incompetent staff who use…","Untrained and incompetent staff who use burocracy to justify their existence.I have written my reason in the survey the Ombudsman sent initially.","15 May 2024","Reply from Energy Ombudsman","15 May 2024","Hi John. We're sorry that you haven't had a positive experience when using our services. We're continuously looking for ways to improve our services and your feedback is important in helping us do that. Thank you"
"MH","https://uk.trustpilot.com/users/56cba9400000ff000a089586","Margaret Hannah","49 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","15 May 2024","https://uk.trustpilot.com/reviews/6643df6d4c8afe16ea61695b","MORE ON ENERGY OMBUDSMAN","Not only are they a private company (supposedly Not for Profit) and NOT a govt department, they are FUNDED BY THE ENERGY COs.   If you ask for details on this they become very cagey (I tried).  The mission statement for this private company is something like 'to foster trust between the Energy Companies and consumers'.   With no regard for the fact that the Energy Companies might well be screwing the consumers.   My case handler (an obvious hypocrite) said she would hope the energy company 'would not do anything untoward' .  HAD SHE FORGOTTEN CONVENIENTLY THAT UW WERE FINED £650,000 BY OFGEM FOR OVERCHARGING CUSTOMERS???     'Fostering Trust'?   Translation:  We support the Energy Companies and if you think they are violating you without your consent, we suggest you lie back and learn to enjoy it'.","14 May 2024","Reply from Energy Ombudsman","15 May 2024","Hi Margaret, we're sorry that you haven't had a positive experience when using our services. Whilst we understand your frustration, our role is to take an independent view of the dispute on a case by case basis, it isn't within our remit to make decisions based on wider industry issues.  As with most Ombudsman - we are funded by the industry that we operate in. We charge a fee to suppliers for each case that a consumer brings to us, this fee is the same regardless of the outcome of the dispute. This also allows us to provide a free service to consumers. Thank you for taking the time to leave us your review."
"LW","https://uk.trustpilot.com/users/6643681c28dd2bef0b67b3eb","Liam Williams","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","14 May 2024","https://uk.trustpilot.com/reviews/66436823ff97cc819f4fe18e","Umar Rafique thank you","My case handler was Umar Rafique and he was brilliant! He investigated my case to the highest standard and got me a result which I couldn’t have imagined for. Made me feel like I had a chance in disputing my case against a large company.","10 May 2024","Reply from Energy Ombudsman","15 May 2024","Hi Liam, that's great to hear. Thank you for taking the time to share your experience, we're glad that we were able to help."
"EJ","https://uk.trustpilot.com/users/5f5fd012d3fb80478ae6a468","Edward Joseph Dyke","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","14 May 2024","https://uk.trustpilot.com/reviews/66434f56f77560a6c00717bc","Very pleased for the support from the…","Very pleased for the support from the Ombudsman.  Thomas was most helpful and implemented the correct decision.  My only other option was to go to court and this would have taken more time.  My electric supplier in this case has been shocking and caused myself health issues.","14 May 2024","Reply from Energy Ombudsman","15 May 2024","Hi Edward, we're sorry to hear of the health issues that this has caused you. We're glad to hear that Thomas was able to support you with your dispute and help to reach a positive outcome. Thank you for your review."
"PH","https://uk.trustpilot.com/users/640f3ff0e8b14f00138c72e5","Philip","4 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","14 May 2024","https://uk.trustpilot.com/reviews/664331c9464b6e1ae6815dd9","A friend in need","Competent case officer, who can be reached!.Proactive and reliable communication.Desired result with energy provider achieved.Process explained clearly.No charge!","13 May 2024","Reply from Energy Ombudsman","15 May 2024","That's great to hear, Philip! We're always happy to help."
"RB","https://uk.trustpilot.com/users/617d47f2e99b4e00127fba38","RB","11 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","13 May 2024","https://uk.trustpilot.com/reviews/66426fd90103bb95da2f495c","Great Service","Our handler was easy to deal with a proposed a sensible and fair resolution to our complaint.","13 May 2024","Reply from Energy Ombudsman","15 May 2024","Hello, we're glad that you've had a positive experience when using our services. Thank you for your review."
"EM","https://uk.trustpilot.com/users/5f6e306a2c222c612e81d175","emma melville","9 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","12 May 2024","https://uk.trustpilot.com/reviews/66407d6837f56e2b9f024a70","Resolved my long going issue with…","Resolved my long going issue with energy company- great service!","12 May 2024","Reply from Energy Ombudsman","15 May 2024","That's great to hear, Emma! We're happy that we could help!"
"MA","https://uk.trustpilot.com/users/57acfb270000ff000a3a110e","Mark","8 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","11 May 2024","https://uk.trustpilot.com/reviews/663fa275b51c114fd0615671","Superb service.","Excellent service. Resolved my dispute without any bias. Case handlers were fair and explained everything clearly.Would recommend to anyone who has a genuine dispute.Wouldn’t hesitate in using again.Thank you.","11 May 2024","Reply from Energy Ombudsman","15 May 2024","Thank you for your recommendation, Mark! We're glad that we were able to help you resolve your dispute."
"SD","https://uk.trustpilot.com/users/6220e38352a846001264e262","Stephen Downs","8 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","10 May 2024","https://uk.trustpilot.com/reviews/663e005b4c854cdd5b0b4b72","Complaint with British Gas","I had a metering dispute with British Gas and despite my best efforts and continual communication I was getting nowhere with them. After 8 weeks I referred the matter to the Energy Ombudsman and raised a formal complaint with them. Since then I have received a satisfactory resolution due to their involvement in the matter. If anyone finds themselves in a similar situation do not hesitate to use the Ombudsman service, they are very friendly and efficient, the complete opposite to British Gas.","23 December 2023","Reply from Energy Ombudsman","15 May 2024","Hi Stephen, we're glad that we were able to help you resolve your dispute. Thank you for taking the time to share your experience."
